"candidate_number","block_A00","block_A01","block_B00","block_C00","block_D01"
"19000001",22.90,24.95,18.15,-1.00,24.70
"19000002",27.70,26.65,25.20,-1.00,25.65
"19000003",-1.00,-1.00,-1.00,17.25,15.15
"19000004",-1.00,-1.00,-1.00,26.50,27.35
"19000005",-1.00,-1.00,-1.00,29.00,25.70
"19000006",-1.00,-1.00,-1.00,28.00,26.70
"19000007",-1.00,-1.00,-1.00,22.50,-1.00
"19000008",-1.00,-1.00,-1.00,27.25,24.65
"19000009",-1.00,-1.00,-1.00,18.25,17.80
"19000010",-1.00,-1.00,-1.00,20.25,21.90
"19000011",-1.00,-1.00,-1.00,26.75,27.95
"19000012",-1.00,-1.00,-1.00,22.75,23.90
"19000013",-1.00,-1.00,-1.00,26.50,27.15
"19000014",-1.00,-1.00,-1.00,19.50,25.70
"19000015",21.55,22.55,22.55,-1.00,23.80
"19000016",-1.00,-1.00,-1.00,22.75,19.00
"19000017",-1.00,-1.00,-1.00,25.25,26.90
"19000018",28.50,28.15,26.50,-1.00,27.15
"19000019",-1.00,-1.00,-1.00,28.50,20.70
"19000020",-1.00,-1.00,-1.00,25.25,24.50
"19000021",-1.00,-1.00,-1.00,28.25,20.60
"19000022",-1.00,-1.00,-1.00,25.50,25.30
"19000023",-1.00,-1.00,-1.00,26.75,27.30
"19000024",24.15,22.20,27.40,-1.00,25.95
"19000025",-1.00,-1.00,-1.00,20.50,16.20
"19000026",-1.00,-1.00,-1.00,22.25,22.25
"19000027",23.10,25.40,20.85,-1.00,25.65
"19000028",26.50,25.30,25.25,-1.00,25.55
"19000029",-1.00,-1.00,-1.00,28.75,25.70
"19000030",-1.00,-1.00,-1.00,26.25,26.75
"19000031",-1.00,-1.00,-1.00,24.75,27.55
"19000032",-1.00,-1.00,-1.00,26.25,26.55
"19000033",-1.00,-1.00,-1.00,28.75,23.30
"19000034",22.00,26.95,18.50,-1.00,26.70
"19000035",22.45,25.20,19.95,-1.00,23.95
"19000036",-1.00,-1.00,-1.00,17.00,14.35
"19000037",24.30,23.85,22.80,-1.00,23.10
"19000038",25.55,21.55,22.55,-1.00,20.05
"19000039",-1.00,-1.00,-1.00,23.00,26.00
"19000040",27.45,25.25,23.45,-1.00,24.25
"19000041",-1.00,-1.00,-1.00,25.00,28.35
"19000042",-1.00,-1.00,-1.00,25.75,27.00
"19000043",-1.00,-1.00,-1.00,21.50,19.20
"19000044",-1.00,-1.00,-1.00,25.75,27.55
"19000045",26.55,25.05,23.30,-1.00,25.80
"19000046",-1.00,-1.00,-1.00,27.50,25.30
"19000047",-1.00,-1.00,-1.00,21.50,19.75
"19000048",-1.00,-1.00,-1.00,26.75,25.75
"19000049",-1.00,-1.00,-1.00,24.50,24.70
"19000050",-1.00,-1.00,-1.00,20.75,17.70
"19000051",-1.00,-1.00,-1.00,23.50,17.10
"19000052",-1.00,-1.00,-1.00,22.00,25.50
"19000053",-1.00,-1.00,-1.00,28.00,23.10
"19000054",-1.00,-1.00,-1.00,28.75,26.10
"19000055",-1.00,-1.00,-1.00,26.50,25.90
"19000056",26.00,26.55,24.25,-1.00,26.80
"19000057",21.85,19.20,26.35,-1.00,23.95
"19000058",21.25,25.95,20.00,-1.00,25.70
"19000059",23.30,-1.00,22.55,-1.00,-1.00
"19000060",26.15,24.95,28.65,-1.00,25.70
"19000061",-1.00,-1.00,-1.00,29.25,27.95
"19000062",-1.00,-1.00,-1.00,21.25,19.15
"19000063",26.50,24.00,24.00,-1.00,23.00
"19000064",25.95,25.25,23.70,-1.00,26.50
"19000065",22.15,21.70,25.90,-1.00,25.20
"19000066",22.55,26.55,18.80,-1.00,27.05
"19000067",23.50,20.70,28.50,-1.00,24.95
"19000068",-1.00,-1.00,-1.00,25.75,24.65
"19000069",-1.00,-1.00,-1.00,25.50,27.95
"19000070",-1.00,-1.00,-1.00,23.25,26.25
"19000071",-1.00,-1.00,-1.00,27.50,27.70
"19000072",23.90,-1.00,23.65,-1.00,-1.00
"19000073",-1.00,-1.00,-1.00,16.25,16.30
"19000074",20.80,25.90,19.05,-1.00,25.15
"19000075",25.10,24.85,22.85,-1.00,24.10
"19000076",-1.00,-1.00,-1.00,19.75,22.20
"19000077",22.35,22.15,21.35,-1.00,22.65
"19000078",25.85,23.95,24.35,-1.00,23.20
"19000079",21.05,24.95,20.05,-1.00,24.95
"19000080",27.85,25.65,25.85,-1.00,22.90
"19000081",9.65,13.15,11.65,-1.00,15.40
"19000082",24.60,21.05,23.85,-1.00,21.30
"19000083",26.85,24.05,25.10,-1.00,23.55
"19000084",28.65,25.90,25.40,-1.00,24.90
"19000085",24.25,27.65,22.00,-1.00,26.40
"19000086",-1.00,-1.00,-1.00,22.00,19.80
"19000087",-1.00,-1.00,-1.00,28.50,-1.00
"19000088",-1.00,-1.00,-1.00,28.50,26.00
"19000089",19.65,19.85,24.15,-1.00,26.35
"19000090",-1.00,-1.00,-1.00,26.25,27.30
"19000091",-1.00,-1.00,-1.00,25.50,27.15
"19000092",21.50,25.45,19.25,-1.00,25.45
"19000093",-1.00,-1.00,-1.00,16.00,15.30
"19000094",26.35,21.80,24.60,-1.00,21.55
"19000095",14.20,17.20,14.20,-1.00,19.70
"19000096",-1.00,-1.00,-1.00,21.75,22.95
"19000097",-1.00,-1.00,-1.00,25.75,22.10
"19000098",28.25,27.15,24.75,-1.00,24.65
"19000099",-1.00,-1.00,-1.00,23.00,15.15
"19000100",-1.00,-1.00,-1.00,29.25,21.15
"19000101",19.20,22.80,16.20,-1.00,23.80
"19000102",21.40,25.80,19.40,-1.00,26.80
"19000103",-1.00,-1.00,-1.00,29.50,24.75
"19000104",19.20,22.65,18.45,-1.00,23.40
"19000105",-1.00,-1.00,-1.00,24.50,26.75
"19000106",22.55,-1.00,22.55,-1.00,-1.00
"19000107",-1.00,-1.00,-1.00,26.75,26.55
"19000108",22.00,23.50,25.50,-1.00,26.50
"19000109",-1.00,-1.00,-1.00,22.00,27.15
"19000110",-1.00,-1.00,-1.00,22.25,22.50
"19000111",-1.00,-1.00,-1.00,19.25,18.20
"19000112",-1.00,-1.00,-1.00,27.50,24.95
"19000113",14.85,17.15,15.35,-1.00,19.40
"19000114",23.35,26.35,20.60,-1.00,26.60
"19000115",12.85,16.25,14.85,-1.00,19.25
"19000116",-1.00,-1.00,-1.00,29.25,24.30
"19000117",22.50,25.85,21.25,-1.00,25.85
"19000118",21.70,24.30,19.45,-1.00,22.80
"19000119",22.55,25.75,20.05,-1.00,23.50
"19000120",21.70,24.30,21.20,-1.00,25.05
"19000121",21.10,23.45,18.10,-1.00,23.70
"19000122",24.10,-1.00,25.10,-1.00,-1.00
"19000123",25.80,25.00,25.55,-1.00,27.50
"19000124",28.45,26.65,26.45,-1.00,25.65
"19000125",23.70,19.80,27.45,-1.00,22.80
"19000126",23.25,27.75,18.50,-1.00,26.75
"19000127",24.75,25.00,24.25,-1.00,25.25
"19000128",-1.00,-1.00,-1.00,20.00,19.05
"19000129",-1.00,-1.00,-1.00,22.25,-1.00
"19000130",-1.00,-1.00,-1.00,16.75,-1.00
"19000131",21.60,26.15,19.60,-1.00,22.65
"19000132",-1.00,-1.00,-1.00,22.50,-1.00
"19000133",27.75,27.65,26.00,-1.00,26.90
"19000134",27.35,26.85,25.35,-1.00,27.10
"19000135",-1.00,-1.00,-1.00,24.00,18.85
"19000136",16.50,20.85,19.25,-1.00,23.35
"19000137",25.00,27.85,22.50,-1.00,26.85
"19000138",26.75,24.05,21.75,-1.00,23.55
"19000139",23.60,22.30,23.60,-1.00,20.80
"19000140",22.05,22.15,22.30,-1.00,25.15
"19000141",27.45,28.10,25.95,-1.00,27.10
"19000142",-1.00,-1.00,-1.00,25.25,-1.00
"19000143",-1.00,-1.00,-1.00,28.50,23.90
"19000144",-1.00,-1.00,-1.00,25.25,23.70
"19000145",-1.00,-1.00,-1.00,25.50,27.15
"19000146",-1.00,-1.00,-1.00,22.50,20.25
"19000147",-1.00,-1.00,-1.00,27.00,27.45
"19000148",19.40,25.10,16.90,-1.00,25.10
"19000149",23.70,26.80,22.20,-1.00,26.05
"19000150",-1.00,-1.00,-1.00,22.75,-1.00
"19000151",27.45,27.25,24.95,-1.00,27.00
"19000152",18.05,-1.00,18.55,-1.00,-1.00
"19000153",27.45,24.55,25.45,-1.00,24.30
"19000154",-1.00,-1.00,-1.00,27.50,28.35
"19000155",-1.00,-1.00,-1.00,23.75,25.30
"19000156",-1.00,-1.00,-1.00,26.25,27.35
"19000157",-1.00,-1.00,-1.00,28.75,-1.00
"19000158",21.65,20.90,24.40,-1.00,24.40
"19000159",-1.00,-1.00,-1.00,26.25,26.00
"19000160",27.00,24.90,24.75,-1.00,24.40
"19000161",-1.00,-1.00,-1.00,24.75,26.05
"19000162",25.00,26.80,21.25,-1.00,25.55
"19000163",25.10,24.50,25.35,-1.00,27.50
"19000164",-1.00,-1.00,-1.00,24.25,28.35
"19000165",21.95,24.60,21.45,-1.00,26.10
"19000166",25.15,25.35,23.15,-1.00,26.35
"19000167",-1.00,-1.00,-1.00,26.75,26.40
"19000168",-1.00,-1.00,-1.00,29.50,26.75
"19000169",23.20,22.45,24.95,-1.00,25.95
"19000170",-1.00,-1.00,-1.00,28.00,-1.00
"19000171",-1.00,-1.00,-1.00,28.75,27.30
"19000173",-1.00,-1.00,-1.00,20.75,21.30
"19000174",22.80,26.40,20.55,-1.00,26.65
"19000175",19.70,24.35,19.70,-1.00,26.35
"19000176",22.95,26.05,20.45,-1.00,26.30
"19000177",-1.00,-1.00,-1.00,26.00,27.05
"19000178",-1.00,-1.00,-1.00,29.25,24.90
"19000179",23.55,27.65,21.05,-1.00,27.90
"19000180",23.40,26.00,21.15,-1.00,25.50
"19000181",-1.00,-1.00,-1.00,25.00,25.70
"19000182",-1.00,-1.00,-1.00,27.25,27.45
"19000183",23.75,25.55,22.50,-1.00,25.05
"19000184",-1.00,-1.00,-1.00,24.00,26.15
"19000185",27.55,24.80,24.30,-1.00,24.05
"19000186",23.50,26.75,21.75,-1.00,25.25
"19000187",-1.00,-1.00,-1.00,19.50,21.45
"19000189",20.95,23.80,20.45,-1.00,22.55
"19000190",-1.00,-1.00,-1.00,17.00,17.10
"19000191",26.45,25.85,25.45,-1.00,26.85
"19000192",-1.00,-1.00,-1.00,27.50,-1.00
"19000193",28.70,27.10,26.45,-1.00,25.10
"19000194",-1.00,-1.00,-1.00,28.25,28.35
"19000195",-1.00,-1.00,-1.00,29.25,27.75
"19000196",21.80,22.60,25.05,-1.00,26.60
"19000197",16.10,19.35,16.60,-1.00,22.85
"19000198",22.25,26.95,19.75,-1.00,24.20
"19000199",15.80,20.65,16.30,-1.00,21.65
"19000200",26.15,25.80,23.40,-1.00,26.05
"19000201",28.10,25.90,26.60,-1.00,25.40
"19000202",15.40,19.20,18.40,-1.00,22.95
"19000203",20.05,23.10,19.30,-1.00,23.35
"19000204",-1.00,-1.00,-1.00,26.00,28.70
"19000205",-1.00,-1.00,-1.00,23.00,28.05
"19000206",25.45,25.05,27.20,-1.00,28.55
"19000207",21.85,22.45,23.60,-1.00,27.95
"19000208",-1.00,-1.00,-1.00,24.50,27.45
"19000209",-1.00,-1.00,-1.00,25.75,27.90
"19000210",21.60,26.45,20.35,-1.00,27.45
"19000211",-1.00,-1.00,-1.00,27.50,26.15
"19000212",-1.00,-1.00,-1.00,24.50,22.95
"19000213",-1.00,-1.00,-1.00,26.00,27.35
"19000214",-1.00,-1.00,-1.00,28.75,23.65
"19000215",-1.00,-1.00,-1.00,25.00,26.30
"19000216",-1.00,-1.00,-1.00,24.50,27.10
"19000217",-1.00,-1.00,-1.00,23.25,26.40
"19000218",-1.00,-1.00,-1.00,26.25,27.90
"19000219",25.45,-1.00,24.70,-1.00,-1.00
"19000221",-1.00,-1.00,-1.00,25.25,26.55
"19000222",27.75,27.15,27.00,-1.00,27.40
"19000223",-1.00,-1.00,-1.00,24.75,26.65
"19000224",23.55,28.10,19.80,-1.00,28.10
"19000225",24.70,24.70,24.45,-1.00,24.95
"19000226",-1.00,-1.00,-1.00,25.25,-1.00
"19000227",14.30,14.35,12.80,-1.00,19.35
"19000228",-1.00,-1.00,-1.00,28.75,22.70
"19000230",23.15,25.55,23.15,-1.00,26.80
"19000231",-1.00,-1.00,-1.00,28.50,25.35
"19000232",25.20,25.15,23.70,-1.00,26.40
"19000233",19.70,22.60,19.45,-1.00,21.35
"19000234",-1.00,-1.00,-1.00,26.50,26.90
"19000235",22.80,26.95,21.55,-1.00,27.20
"19000236",21.55,25.00,22.55,-1.00,26.75
"19000237",-1.00,-1.00,-1.00,28.25,20.10
"19000238",24.40,26.80,22.90,-1.00,26.80
"19000239",23.60,27.65,21.60,-1.00,27.65
"19000240",19.85,18.90,25.60,-1.00,24.15
"19000241",-1.00,-1.00,-1.00,27.00,-1.00
"19000242",17.80,19.25,20.05,-1.00,23.50
"19000243",25.95,25.00,25.95,-1.00,26.75
"19000244",22.50,27.00,19.00,-1.00,26.75
"19000245",21.05,20.30,25.05,-1.00,27.30
"19000246",-1.00,-1.00,-1.00,26.25,-1.00
"19000247",-1.00,-1.00,-1.00,25.75,27.75
"19000248",25.85,25.05,24.35,-1.00,25.30
"19000249",23.25,19.70,28.25,-1.00,23.45
"19000250",25.20,-1.00,24.20,-1.00,-1.00
"19000251",-1.00,-1.00,-1.00,25.75,19.50
"19000252",-1.00,-1.00,-1.00,22.00,19.10
"19000253",-1.00,-1.00,-1.00,22.75,25.15
"19000254",-1.00,-1.00,-1.00,18.25,19.30
"19000255",-1.00,-1.00,-1.00,28.00,27.10
"19000256",-1.00,-1.00,-1.00,25.25,-1.00
"19000257",-1.00,-1.00,-1.00,27.00,26.90
"19000258",22.40,27.30,19.40,-1.00,26.30
"19000259",-1.00,-1.00,-1.00,29.25,26.55
"19000260",-1.00,-1.00,-1.00,27.25,26.45
"19000261",-1.00,-1.00,-1.00,25.00,26.65
"19000262",-1.00,-1.00,-1.00,25.25,26.25
"19000263",-1.00,-1.00,-1.00,22.00,21.85
"19000264",-1.00,-1.00,-1.00,27.50,25.95
"19000265",22.45,26.25,20.45,-1.00,26.25
"19000266",-1.00,-1.00,-1.00,22.00,21.40
"19000267",-1.00,-1.00,-1.00,27.50,28.15
"19000268",-1.00,-1.00,-1.00,28.75,20.25
"19000269",-1.00,-1.00,-1.00,27.75,28.10
"19000270",-1.00,-1.00,-1.00,26.00,25.05
"19000271",-1.00,-1.00,-1.00,28.25,25.40
"19000272",-1.00,-1.00,-1.00,25.50,26.85
"19000273",12.95,14.40,14.95,-1.00,14.40
"19000274",28.90,27.10,26.15,-1.00,26.60
"19000275",-1.00,-1.00,-1.00,27.50,27.90
"19000276",23.30,22.90,26.80,-1.00,26.40
"19000278",-1.00,-1.00,-1.00,27.00,27.10
"19000279",-1.00,-1.00,-1.00,27.50,26.10
"19000280",-1.00,-1.00,-1.00,27.75,27.30
"19000281",-1.00,-1.00,-1.00,27.75,23.25
"19000282",-1.00,-1.00,-1.00,28.75,-1.00
"19000283",-1.00,-1.00,-1.00,26.00,28.50
"19000284",-1.00,-1.00,-1.00,26.00,28.15
"19000285",-1.00,-1.00,-1.00,26.75,-1.00
"19000286",25.55,25.15,26.30,-1.00,27.15
"19000287",26.25,25.70,26.50,-1.00,26.20
"19000288",-1.00,-1.00,-1.00,24.00,22.95
"19000289",24.75,26.55,23.00,-1.00,26.30
"19000290",24.80,24.55,24.30,-1.00,25.80
"19000291",21.95,20.15,26.95,-1.00,24.65
"19000292",23.85,25.90,21.35,-1.00,25.15
"19000293",27.45,25.45,25.45,-1.00,25.20
"19000294",15.35,17.70,17.35,-1.00,21.95
"19000295",-1.00,-1.00,-1.00,22.75,25.35
"19000296",23.20,26.00,19.70,-1.00,27.00
"19000297",-1.00,-1.00,-1.00,28.25,-1.00
"19000298",-1.00,-1.00,-1.00,23.50,-1.00
"19000299",-1.00,-1.00,-1.00,25.00,25.50
"19000300",27.55,26.00,26.30,-1.00,25.75
"19000301",-1.00,-1.00,-1.00,25.75,25.50
"19000302",-1.00,-1.00,-1.00,24.00,19.90
"19000303",-1.00,-1.00,-1.00,24.50,25.60
"19000304",-1.00,-1.00,-1.00,19.25,-1.00
"19000305",-1.00,-1.00,-1.00,23.00,15.65
"19000306",-1.00,-1.00,-1.00,27.75,-1.00
"19000307",-1.00,-1.00,-1.00,24.25,25.10
"19000308",-1.00,-1.00,-1.00,23.25,-1.00
"19000309",-1.00,-1.00,-1.00,25.75,27.70
"19000310",-1.00,-1.00,-1.00,28.75,-1.00
"19000312",21.05,24.95,19.80,-1.00,25.95
"19000313",24.95,28.20,24.20,-1.00,26.20
"19000314",-1.00,-1.00,-1.00,27.75,26.10
"19000315",-1.00,-1.00,-1.00,24.50,26.50
"19000316",23.50,26.40,21.75,-1.00,25.90
"19000317",27.45,26.40,24.95,-1.00,25.40
"19000318",-1.00,-1.00,-1.00,22.50,23.05
"19000319",-1.00,-1.00,-1.00,20.75,20.10
"19000320",-1.00,-1.00,-1.00,28.25,26.90
"19000321",-1.00,-1.00,-1.00,27.00,27.95
"19000322",-1.00,-1.00,-1.00,20.00,17.95
"19000323",-1.00,-1.00,-1.00,29.50,25.70
"19000324",-1.00,-1.00,-1.00,21.25,22.65
"19000325",-1.00,-1.00,-1.00,28.75,25.90
"19000326",-1.00,-1.00,-1.00,26.75,26.30
"19000327",-1.00,-1.00,-1.00,28.25,24.95
"19000328",-1.00,-1.00,-1.00,27.50,27.95
"19000329",-1.00,-1.00,-1.00,27.75,27.95
"19000330",-1.00,-1.00,-1.00,27.50,27.30
"19000331",-1.00,-1.00,-1.00,28.50,28.35
"19000332",-1.00,-1.00,-1.00,29.50,25.95
"19000333",-1.00,-1.00,-1.00,24.25,26.50
"19000334",-1.00,-1.00,-1.00,23.75,27.70
"19000335",-1.00,-1.00,-1.00,29.75,25.95
"19000336",-1.00,-1.00,-1.00,26.75,27.50
"19000337",18.55,19.75,24.30,-1.00,25.75
"19000338",-1.00,-1.00,-1.00,23.75,25.55
"19000339",-1.00,-1.00,-1.00,26.00,27.55
"19000340",-1.00,-1.00,-1.00,29.50,24.15
"19000341",-1.00,-1.00,-1.00,23.75,24.90
"19000342",-1.00,-1.00,-1.00,24.50,24.85
"19000343",-1.00,-1.00,-1.00,26.00,27.95
"19000344",24.60,27.25,22.35,-1.00,26.75
"19000345",-1.00,-1.00,-1.00,29.25,22.95
"19000346",-1.00,-1.00,-1.00,26.75,27.75
"19000347",21.10,23.35,22.60,-1.00,25.60
"19000348",-1.00,-1.00,-1.00,21.75,22.85
"19000349",27.35,26.60,25.85,-1.00,26.35
"19000350",27.20,26.40,25.95,-1.00,27.15
"19000351",-1.00,-1.00,-1.00,25.00,27.10
"19000352",-1.00,-1.00,-1.00,29.25,-1.00
"19000353",-1.00,-1.00,-1.00,27.75,26.85
"19000354",-1.00,-1.00,-1.00,29.00,-1.00
"19000355",-1.00,-1.00,-1.00,25.00,26.95
"19000356",-1.00,-1.00,-1.00,26.75,26.50
"19000357",-1.00,-1.00,-1.00,24.00,25.05
"19000358",20.90,18.30,27.40,-1.00,24.80
"19000359",-1.00,-1.00,-1.00,25.25,-1.00
"19000360",27.80,25.65,25.80,-1.00,25.15
"19000361",-1.00,-1.00,-1.00,20.50,18.80
"19000362",21.45,26.20,19.70,-1.00,25.45
"19000363",28.40,23.60,24.40,-1.00,20.85
"19000364",23.95,26.05,20.70,-1.00,26.30
"19000365",23.30,22.35,27.55,-1.00,26.60
"19000366",22.85,26.20,19.85,-1.00,23.70
"19000367",-1.00,-1.00,-1.00,22.00,18.80
"19000368",-1.00,-1.00,-1.00,23.50,19.65
"19000369",-1.00,-1.00,-1.00,27.75,27.65
"19000370",-1.00,-1.00,-1.00,23.75,27.50
"19000371",-1.00,-1.00,-1.00,23.50,26.85
"19000372",-1.00,-1.00,-1.00,26.50,28.15
"19000373",-1.00,-1.00,-1.00,25.50,27.10
"19000374",-1.00,-1.00,-1.00,26.75,25.90
"19000375",-1.00,-1.00,-1.00,27.50,27.15
"19000376",-1.00,-1.00,-1.00,26.75,28.00
"19000377",-1.00,-1.00,-1.00,25.75,27.15
"19000378",-1.00,-1.00,-1.00,22.25,15.95
"19000380",23.00,21.95,25.50,-1.00,23.70
"19000381",26.90,25.55,24.65,-1.00,25.55
"19000382",26.60,25.95,25.35,-1.00,25.45
"19000383",27.50,24.55,24.00,-1.00,23.05
"19000384",-1.00,-1.00,-1.00,27.50,27.50
"19000385",-1.00,-1.00,-1.00,27.00,24.75
"19000386",22.20,-1.00,24.70,-1.00,-1.00
"19000388",-1.00,-1.00,-1.00,29.25,25.70
"19000389",-1.00,-1.00,-1.00,23.25,20.85
"19000390",-1.00,-1.00,-1.00,25.25,24.40
"19000391",17.85,22.75,17.85,-1.00,27.75
"19000392",21.20,-1.00,20.70,-1.00,-1.00
"19000393",-1.00,-1.00,-1.00,21.75,23.70
"19000394",25.55,25.20,24.05,-1.00,24.45
"19000395",22.35,25.15,19.60,-1.00,24.65
"19000396",-1.00,-1.00,-1.00,22.25,26.60
"19000397",24.65,24.90,24.40,-1.00,25.90
"19000398",23.05,26.75,22.55,-1.00,27.25
"19000399",26.85,24.40,25.85,-1.00,23.90
"19000400",-1.00,-1.00,-1.00,24.50,24.70
"19000401",25.85,23.70,24.85,-1.00,23.70
"19000402",-1.00,-1.00,-1.00,23.00,20.25
"19000403",-1.00,-1.00,-1.00,25.75,20.95
"19000404",-1.00,-1.00,-1.00,20.25,19.25
"19000405",22.75,25.95,20.50,-1.00,26.45
"19000406",-1.00,-1.00,-1.00,29.25,27.35
"19000407",-1.00,-1.00,-1.00,29.75,23.55
"19000408",24.95,24.85,25.20,-1.00,27.35
"19000409",-1.00,-1.00,-1.00,28.50,22.70
"19000410",-1.00,-1.00,-1.00,29.50,19.90
"19000411",19.95,21.30,18.20,-1.00,23.05
"19000412",23.55,23.05,27.05,-1.00,27.05
"19000413",24.60,-1.00,24.85,-1.00,-1.00
"19000414",26.95,26.65,27.45,-1.00,27.15
"19000415",-1.00,-1.00,-1.00,27.25,27.15
"19000416",-1.00,-1.00,-1.00,29.50,24.35
"19000417",-1.00,-1.00,-1.00,27.25,26.10
"19000419",26.85,26.60,25.10,-1.00,26.10
"19000420",22.80,21.70,25.55,-1.00,24.70
"19000421",-1.00,-1.00,-1.00,27.50,27.75
"19000422",-1.00,-1.00,-1.00,26.50,19.65
"19000423",-1.00,-1.00,-1.00,25.50,28.15
"19000424",-1.00,-1.00,-1.00,27.25,27.15
"19000425",-1.00,-1.00,-1.00,25.00,27.30
"19000426",-1.00,-1.00,-1.00,27.25,27.55
"19000427",22.25,23.75,25.00,-1.00,28.00
"19000428",21.55,20.55,26.55,-1.00,26.30
"19000429",22.70,-1.00,20.45,-1.00,-1.00
"19000430",-1.00,-1.00,-1.00,29.00,26.90
"19000431",-1.00,-1.00,-1.00,24.50,19.80
"19000432",23.65,27.95,22.90,-1.00,27.95
"19000433",21.05,25.05,19.80,-1.00,25.55
"19000434",23.55,24.80,26.30,-1.00,26.05
"19000435",25.35,25.30,26.85,-1.00,25.05
"19000436",24.80,26.70,24.80,-1.00,25.20
"19000437",21.65,25.65,20.65,-1.00,26.15
"19000438",22.25,25.85,21.25,-1.00,27.35
"19000439",-1.00,-1.00,-1.00,25.00,27.65
"19000440",-1.00,-1.00,-1.00,21.50,18.45
"19000441",-1.00,-1.00,-1.00,26.00,-1.00
"19000442",-1.00,-1.00,-1.00,25.75,27.70
"19000443",-1.00,-1.00,-1.00,25.00,28.55
"19000444",-1.00,-1.00,-1.00,24.75,28.35
"19000445",-1.00,-1.00,-1.00,28.00,27.95
"19000446",-1.00,-1.00,-1.00,27.75,27.30
"19000447",-1.00,-1.00,-1.00,25.25,25.95
"19000448",22.95,23.45,27.45,-1.00,28.70
"19000449",25.35,24.55,27.10,-1.00,25.55
"19000450",-1.00,-1.00,-1.00,26.50,27.75
"19000451",-1.00,-1.00,-1.00,29.00,-1.00
"19000452",17.95,21.10,17.20,-1.00,22.85
"19000453",-1.00,-1.00,-1.00,25.50,26.30
"19000454",-1.00,-1.00,-1.00,29.75,24.95
"19000455",27.15,26.90,25.15,-1.00,26.90
"19000456",-1.00,-1.00,-1.00,22.00,22.85
"19000457",21.10,-1.00,21.10,-1.00,-1.00
"19000458",-1.00,-1.00,-1.00,23.25,22.80
"19000459",23.45,27.40,20.20,-1.00,25.15
"19000460",-1.00,-1.00,-1.00,29.50,23.35
"19000461",-1.00,-1.00,-1.00,25.00,23.55
"19000462",23.15,27.45,17.90,-1.00,23.95
"19000463",24.60,27.35,22.85,-1.00,27.60
"19000464",-1.00,-1.00,-1.00,24.00,25.20
"19000465",24.50,24.75,23.75,-1.00,25.75
"19000467",27.85,26.25,27.10,-1.00,25.00
"19000468",-1.00,-1.00,-1.00,28.25,27.90
"19000469",27.85,25.65,25.35,-1.00,25.40
"19000470",10.75,14.75,13.00,-1.00,20.75
"19000472",-1.00,-1.00,-1.00,27.50,-1.00
"19000473",23.00,22.85,24.50,-1.00,27.10
"19000474",-1.00,-1.00,-1.00,27.50,26.35
"19000475",-1.00,-1.00,-1.00,29.75,26.75
"19000476",22.10,22.10,26.85,-1.00,26.10
"19000477",-1.00,-1.00,-1.00,28.25,25.60
"19000478",-1.00,-1.00,-1.00,27.25,25.55
"19000479",-1.00,-1.00,-1.00,25.75,25.00
"19000480",19.20,21.90,18.95,-1.00,24.40
"19000481",-1.00,-1.00,-1.00,23.75,21.05
"19000482",23.45,25.70,21.95,-1.00,26.70
"19000483",25.15,24.05,23.90,-1.00,24.80
"19000484",23.60,21.60,28.10,-1.00,25.35
"19000485",-1.00,-1.00,-1.00,24.75,23.30
"19000486",23.40,25.25,22.90,-1.00,25.25
"19000487",24.30,22.10,24.55,-1.00,23.60
"19000488",23.65,27.30,19.90,-1.00,27.05
"19000489",22.25,26.95,19.50,-1.00,26.95
"19000490",-1.00,-1.00,-1.00,27.25,28.35
"19000491",22.95,-1.00,23.45,-1.00,-1.00
"19000492",-1.00,-1.00,-1.00,24.00,20.40
"19000493",-1.00,-1.00,-1.00,29.75,25.75
"19000494",-1.00,-1.00,-1.00,26.25,26.50
"19000495",22.90,26.10,19.90,-1.00,26.85
"19000496",-1.00,-1.00,-1.00,25.50,16.70
"19000497",-1.00,-1.00,-1.00,29.50,22.95
"19000498",-1.00,-1.00,-1.00,27.00,-1.00
"19000499",25.20,27.70,22.20,-1.00,27.70
"19000500",24.35,24.00,23.85,-1.00,27.50
"19000501",-1.00,-1.00,-1.00,29.00,23.35
"19000502",25.70,24.20,24.20,-1.00,22.45
"19000503",19.85,19.75,23.10,-1.00,21.50
"19000504",-1.00,-1.00,-1.00,28.00,26.95
"19000505",24.45,21.50,23.45,-1.00,22.00
"19000506",-1.00,-1.00,-1.00,22.75,23.10
"19000507",19.40,19.70,22.65,-1.00,23.95
"19000508",23.45,22.65,24.20,-1.00,25.90
"19000509",-1.00,-1.00,-1.00,24.50,26.85
"19000510",23.35,25.85,22.60,-1.00,26.60
"19000511",-1.00,-1.00,-1.00,26.25,27.75
"19000512",25.40,25.25,20.65,-1.00,24.25
"19000513",-1.00,-1.00,-1.00,25.75,24.80
"19000514",-1.00,-1.00,-1.00,26.25,26.05
"19000515",-1.00,-1.00,-1.00,27.50,26.35
"19000516",23.70,24.55,22.95,-1.00,25.80
"19000517",23.65,22.80,22.65,-1.00,25.55
"19000518",-1.00,-1.00,-1.00,29.25,26.75
"19000519",-1.00,-1.00,-1.00,28.00,24.55
"19000520",22.55,24.30,20.80,-1.00,21.80
"19000521",-1.00,-1.00,-1.00,27.25,25.15
"19000522",23.15,23.10,22.15,-1.00,25.60
"19000523",19.00,23.85,17.75,-1.00,23.10
